date,provider,model,project,cost_center,tokens_input,tokens_output,request_count,cost_usd,api_key_hash,tags
2026-03-01,anthropic,claude-3-5-sonnet,api,CC-200,416368,100989,3450,2.7639,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-02,anthropic,claude-3-5-sonnet,api,CC-200,766069,183729,5227,5.0541,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-03,anthropic,claude-3-5-sonnet,,CC-200,928001,229693,6299,6.2294,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""CostCenter"": ""CC-200""}"
2026-03-04,anthropic,claude-3-5-sonnet,api,CC-200,926205,204480,5398,5.8458,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-05,anthropic,claude-3-5-sonnet,api,CC-200,927292,248799,5940,6.5139,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-06,anthropic,claude-3-5-sonnet,api,CC-200,857873,181747,6019,5.2998,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-07,anthropic,claude-3-5-sonnet,api,CC-200,450494,133284,2585,3.3507,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-08,anthropic,claude-3-5-sonnet,api,CC-200,476058,138632,2696,3.5077,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-09,anthropic,claude-3-5-sonnet,api,CC-200,664159,222973,6293,5.3371,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-10,anthropic,claude-3-5-sonnet,api,CC-200,729454,202527,5095,5.2263,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-11,anthropic,claude-3-5-sonnet,api,CC-200,722135,184486,4832,4.9337,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-12,anthropic,claude-3-5-sonnet,api,CC-200,903931,224186,5039,6.0746,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-13,anthropic,claude-3-5-sonnet,api,CC-200,870777,256656,6292,6.4622,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api"", ""CostCenter"": ""CC-200""}"
2026-03-14,anthropic,claude-3-5-sonnet,api,,526149,129135,3361,3.5155,sk-18efa72c957d57e8,"{""Environment"": ""prod"", ""Owner"": ""api-platform@hbt.co.kr"", ""Project"": ""api""}"
