date,provider,resource_id,resource_name,instance_type,project,environment,cost_center,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent,network_in_gb,network_out_gb,status
2026-03-01,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,64.6,84.6,50.4,80.0,0.500,0.200,running
2026-03-02,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,59.1,79.1,53.3,80.0,0.500,0.200,running
2026-03-03,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,66.0,86.0,60.2,80.0,0.500,0.200,running
2026-03-04,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,68.4,88.4,51.3,80.0,0.500,0.200,running
2026-03-05,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,61.3,81.3,50.4,80.0,0.500,0.200,running
2026-03-06,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,58.3,78.3,57.6,80.0,0.500,0.200,running
2026-03-07,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,55.4,75.4,53.0,80.0,0.500,0.200,running
2026-03-08,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,64.7,84.7,58.2,80.0,0.500,0.200,running
2026-03-09,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,58.3,78.3,58.8,80.0,0.500,0.200,running
2026-03-10,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,67.1,87.1,50.1,80.0,0.500,0.200,running
2026-03-11,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,67.1,87.1,60.5,80.0,0.500,0.200,running
2026-03-12,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,60.1,80.1,52.3,80.0,0.500,0.200,running
2026-03-13,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,69.4,89.4,55.0,80.0,0.500,0.200,running
2026-03-14,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,56.4,76.4,51.5,80.0,0.500,0.200,running
2026-03-15,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,67.7,87.7,59.1,80.0,0.500,0.200,running
2026-03-16,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,67.1,87.1,60.9,80.0,0.500,0.200,running
2026-03-17,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,63.0,83.0,64.6,80.0,0.500,0.200,running
2026-03-18,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,60.7,80.7,58.3,80.0,0.500,0.200,running
2026-03-19,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,67.4,87.4,59.3,80.0,0.500,0.200,running
2026-03-20,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,67.9,87.9,58.7,80.0,0.500,0.200,running
2026-03-21,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,65.6,85.6,50.7,80.0,0.500,0.200,running
2026-03-22,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,58.4,78.4,54.3,80.0,0.500,0.200,running
2026-03-23,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,56.2,76.2,53.5,80.0,0.500,0.200,running
2026-03-24,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,56.5,76.5,54.2,80.0,0.500,0.200,running
2026-03-25,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,64.5,84.5,55.5,80.0,0.500,0.200,running
2026-03-26,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,60.6,80.6,53.1,80.0,0.500,0.200,running
2026-03-27,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,59.0,79.0,64.0,80.0,0.500,0.200,running
2026-03-28,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,64.7,84.7,59.1,80.0,0.500,0.200,running
2026-03-29,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,57.6,77.6,60.9,80.0,0.500,0.200,running
2026-03-30,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,57.5,77.5,55.7,80.0,0.500,0.200,running
2026-03-31,AWS,i-web-001,i-web-001,m5.2xlarge,web,prod,CC-200,69.8,89.8,59.6,80.0,0.500,0.200,running
2026-03-01,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,63.4,83.4,60.3,80.0,0.500,0.200,running
2026-03-02,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,67.6,87.6,61.6,80.0,0.500,0.200,running
2026-03-03,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,58.4,78.4,50.5,80.0,0.500,0.200,running
2026-03-04,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,59.7,79.7,54.0,80.0,0.500,0.200,running
2026-03-05,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,58.2,78.2,64.1,80.0,0.500,0.200,running
2026-03-06,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,68.1,88.1,54.7,80.0,0.500,0.200,running
2026-03-07,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,64.8,84.8,55.9,80.0,0.500,0.200,running
2026-03-08,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,68.7,88.7,56.9,80.0,0.500,0.200,running
2026-03-09,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,59.0,79.0,53.7,80.0,0.500,0.200,running
2026-03-10,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,63.4,83.4,53.9,80.0,0.500,0.200,running
2026-03-11,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,63.8,83.8,63.5,80.0,0.500,0.200,running
2026-03-12,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,61.0,81.0,53.3,80.0,0.500,0.200,running
2026-03-13,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,70.0,90.0,57.6,80.0,0.500,0.200,running
2026-03-14,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,56.4,76.4,50.7,80.0,0.500,0.200,running
2026-03-15,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,56.6,76.6,59.4,80.0,0.500,0.200,running
2026-03-16,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,66.9,86.9,56.3,80.0,0.500,0.200,running
2026-03-17,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,56.0,76.0,55.7,80.0,0.500,0.200,running
2026-03-18,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,69.9,89.9,57.9,80.0,0.500,0.200,running
2026-03-19,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,69.6,89.6,62.9,80.0,0.500,0.200,running
2026-03-20,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,55.2,75.2,60.8,80.0,0.500,0.200,running
2026-03-21,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,65.2,85.2,58.1,80.0,0.500,0.200,running
2026-03-22,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,59.0,79.0,59.6,80.0,0.500,0.200,running
2026-03-23,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,56.7,76.7,56.5,80.0,0.500,0.200,running
2026-03-24,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,61.8,81.8,64.3,80.0,0.500,0.200,running
2026-03-25,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,68.1,88.1,54.0,80.0,0.500,0.200,running
2026-03-26,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,62.5,82.5,52.7,80.0,0.500,0.200,running
2026-03-27,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,68.7,88.7,63.1,80.0,0.500,0.200,running
2026-03-28,AWS,i-web-002,i-web-002,m5.2xlarge,web,prod,CC-200,59.5,79.5,59.6,80.0,0.500,0.200,running
